h,r,t
2343,2,2759
1889,2,2759
1858,2,2759
150,2,2759
426,2,2759
2338,2,2759
2023,2,2759
1259,2,2759
1241,2,2759
440,2,2759
1846,2,2759
1910,2,2759
1743,2,2764
1205,2,2764
335,2,2764
2029,2,2764
1499,2,2764
269,2,2764
2530,2,2764
1743,2,2767
1205,2,2767
335,2,2767
2029,2,2767
1499,2,2767
285,2,2769
1453,2,2769
1264,2,2769
2146,2,2769
175,2,2769
2278,2,2769
183,2,2770
2424,2,2770
2618,2,2770
216,2,2770
2156,2,2770
2710,2,2771
1160,2,2771
1967,2,2771
1680,2,2771
356,2,2771
2710,2,2772
1160,2,2772
1967,2,2772
429,2,2772
291,2,2772
2319,2,2772
277,2,2772
2618,2,2786
216,2,2786
202,2,2786
1237,2,2786
1891,2,2786
1248,2,2786
183,2,2788
2424,2,2788
2618,2,2788
216,2,2788
2156,2,2788
1650,2,2788
2710,2,2789
1160,2,2789
1967,2,2789
2341,2,2789
1889,2,2789
21,2,2789
2639,2,2792
2343,2,2792
1680,2,2792
356,2,2792
2341,2,2792
1858,2,2792
2337,2,2792
21,2,2792
2710,2,2797
1160,2,2797
1967,2,2797
1700,2,2797
1305,2,2797
150,2,2805
426,2,2805
2338,2,2805
1259,2,2805
1846,2,2805
2343,2,2807
1889,2,2807
150,2,2807
426,2,2807
2338,2,2807
1241,2,2807
440,2,2807
183,2,2812
2424,2,2812
2618,2,2812
216,2,2812
2146,2,2812
2167,2,2812
1764,2,2812
172,2,2812
183,2,2815
2424,2,2815
2618,2,2815
216,2,2815
1370,2,2815
1246,2,2817
1680,2,2817
150,2,2817
426,2,2817
2338,2,2817
1323,2,2820
2392,2,2820
1171,2,2820
2339,2,2820
1988,2,2820
1930,2,2827
2532,2,2827
2492,2,2827
2351,2,2827
1811,2,2827
1470,2,2827
1930,2,2828
2532,2,2828
2492,2,2828
2351,2,2828
1811,2,2828
1470,2,2828
2710,2,2832
1160,2,2832
1967,2,2832
1558,2,2832
357,2,2832
2362,2,2842
1555,2,2842
1171,2,2842
2339,2,2842
1348,2,2842
1349,2,2843
1323,2,2843
2617,2,2843
2743,2,2843
1794,2,2843
2711,2,2843
183,2,2849
2424,2,2849
2156,2,2849
210,2,2849
2160,2,2849
175,2,2849
2278,2,2849
1246,2,2850
2343,2,2850
1703,2,2850
1889,2,2850
150,2,2850
426,2,2850
2338,2,2850
2745,2,2850
1433,2,2850
2639,2,2855
2343,2,2855
1703,2,2855
1680,2,2855
356,2,2855
1858,2,2855
1555,2,2855
150,2,2855
426,2,2855
2023,2,2855
291,2,2855
2319,2,2855
2743,2,2855
1241,2,2855
440,2,2855
1415,2,2855
2746,2,2855
2745,2,2855
2343,2,2856
1680,2,2856
356,2,2856
1889,2,2856
1858,2,2856
2343,2,2857
1680,2,2857
356,2,2857
1889,2,2857
1858,2,2857
2710,2,2859
1160,2,2859
1967,2,2859
1794,2,2859
2711,2,2859
1246,2,2860
1680,2,2860
356,2,2860
1889,2,2860
1259,2,2860
1943,2,2860
1846,2,2860
183,2,2866
2424,2,2866
2618,2,2866
216,2,2866
2156,2,2866
1370,2,2866
2146,2,2866
1650,2,2866
1246,2,2867
2614,2,2867
2807,2,2867
2616,2,2867
213,2,2867
1641,2,2867
2343,2,2867
1703,2,2867
1680,2,2867
356,2,2867
2341,2,2867
1889,2,2867
1858,2,2867
150,2,2867
426,2,2867
2338,2,2867
21,2,2867
2745,2,2867
2710,2,2873
1160,2,2873
1967,2,2873
2343,2,2873
1680,2,2873
356,2,2873
1889,2,2873
429,2,2873
183,2,2874
2424,2,2874
2618,2,2874
2146,2,2874
2256,2,2874
2710,2,2876
1160,2,2876
1967,2,2876
2119,2,2876
2712,2,2876
1680,2,2881
356,2,2881
1889,2,2881
1758,2,2881
150,2,2881
426,2,2881
2338,2,2881
1246,2,2883
1641,2,2883
2639,2,2883
2343,2,2883
1889,2,2883
1858,2,2883
1555,2,2883
150,2,2883
426,2,2883
2338,2,2883
2535,2,2883
1259,2,2883
1846,2,2883
1863,2,2884
2217,2,2884
2497,2,2884
390,2,2884
2243,2,2884
1480,2,2884
1409,2,2884
1743,2,2894
1205,2,2894
335,2,2894
1821,2,2894
2540,2,2894
1323,2,2896
1555,2,2896
1758,2,2896
1943,2,2896
2452,2,2896
2555,2,2900
250,2,2900
264,2,2900
1495,2,2900
2297,2,2900
244,2,2900
2362,2,2903
1349,2,2903
1789,2,2903
1323,2,2903
2089,2,2903
1758,2,2903
1943,2,2903
1246,2,2904
2639,2,2904
2341,2,2904
1889,2,2904
1858,2,2904
150,2,2904
426,2,2904
291,2,2904
2319,2,2904
21,2,2904
1241,2,2904
440,2,2904
2745,2,2904
150,2,2905
426,2,2905
277,2,2905
1241,2,2905
440,2,2905
2710,2,2912
1160,2,2912
1967,2,2912
1680,2,2912
356,2,2912
2617,2,2912
2710,2,2915
1160,2,2915
1967,2,2915
1680,2,2915
356,2,2915
1700,2,2915
183,2,2916
2424,2,2916
2156,2,2916
1370,2,2916
359,2,2916
2464,2,2916
1889,2,2917
150,2,2917
426,2,2917
2338,2,2917
1348,2,2917
2745,2,2917
2710,2,2920
1160,2,2920
1967,2,2920
1641,2,2920
2341,2,2920
2337,2,2920
2023,2,2920
21,2,2920
1943,2,2920
1680,2,2928
356,2,2928
2392,2,2928
2535,2,2928
1906,2,2928
1679,2,2928
1370,2,2929
359,2,2929
2464,2,2929
1650,2,2929
1442,2,2929
2392,2,2930
1988,2,2930
429,2,2930
1906,2,2930
1794,2,2930
2711,2,2930
2710,2,2934
1160,2,2934
1967,2,2934
2462,2,2934
2396,2,2934
2213,2,2934
2535,2,2934
2710,2,2940
1160,2,2940
1967,2,2940
2614,2,2940
2807,2,2940
2616,2,2940
213,2,2940
2710,2,2941
1160,2,2941
1967,2,2941
1680,2,2941
356,2,2941
2710,2,2944
1160,2,2944
1967,2,2944
1680,2,2944
356,2,2944
1970,2,2948
2366,2,2948
237,2,2948
1894,2,2948
1269,2,2948
1703,2,2952
150,2,2952
426,2,2952
2338,2,2952
2535,2,2952
2743,2,2952
1846,2,2952
285,2,2960
1453,2,2960
2156,2,2960
1370,2,2960
359,2,2960
2464,2,2960
202,2,2960
1237,2,2960
175,2,2960
2278,2,2960
2710,2,2963
1160,2,2963
1967,2,2963
1680,2,2963
356,2,2963
2392,2,2963
2618,2,2971
216,2,2971
2156,2,2971
2146,2,2971
2167,2,2971
359,2,2971
2464,2,2971
202,2,2971
1237,2,2971
2256,2,2971
1891,2,2971
1650,2,2971
2146,2,2973
2167,2,2973
359,2,2973
2464,2,2973
202,2,2973
1237,2,2973
1891,2,2973
1826,2,2973
221,2,2973
2181,2,2973
203,2,2973
183,2,2983
2424,2,2983
2156,2,2983
1370,2,2983
2131,2,2983
1323,2,2987
2213,2,2987
1171,2,2987
2339,2,2987
2743,2,2987
1305,2,2987
2362,2,2989
1349,2,2989
1789,2,2989
1323,2,2989
2392,2,2989
2400,2,2989
2089,2,2989
1889,2,2989
1561,2,2989
1171,2,2989
2339,2,2989
2535,2,2989
1700,2,2989
1422,2,2989
2743,2,2989
1323,2,2991
2462,2,2991
1171,2,2991
2339,2,2991
1305,2,2991
1858,2,2997
2396,2,2997
150,2,2997
426,2,2997
2338,2,2997
2023,2,2997
1422,2,2997
1246,2,3002
1323,2,3002
2341,2,3002
1889,2,3002
2743,2,3002
1415,2,3002
2746,2,3002
2452,2,3002
1703,2,3003
2089,2,3003
2337,2,3003
150,2,3003
426,2,3003
2338,2,3003
2023,2,3003
1700,2,3003
1846,2,3003
2392,2,3006
1988,2,3006
1305,2,3006
1794,2,3006
2711,2,3006
2362,2,3014
2343,2,3014
1555,2,3014
1171,2,3014
2339,2,3014
1988,2,3014
2535,2,3014
1700,2,3014
1422,2,3014
2743,2,3014
1305,2,3014
1846,2,3014
1679,2,3014
220,2,3019
2208,2,3019
1158,2,3019
2633,2,3019
2212,2,3019
2246,2,3022
2238,2,3022
1390,2,3022
2252,2,3022
2180,2,3022
2392,2,3028
1988,2,3028
1700,2,3028
1305,2,3028
1794,2,3028
2711,2,3028
2710,2,3032
1160,2,3032
1967,2,3032
1680,2,3032
356,2,3032
429,2,3032
277,2,3032
2664,2,3034
2286,2,3034
249,2,3034
2289,2,3034
276,2,3034
2462,2,3035
2396,2,3035
150,2,3035
426,2,3035
2338,2,3035
277,2,3035
1930,2,3038
2532,2,3038
2492,2,3038
2351,2,3038
1892,2,3038
2322,2,3038
2462,2,3043
2119,2,3043
2712,2,3043
429,2,3043
2745,2,3043
1433,2,3043
1163,2,3045
2016,2,3045
2005,2,3045
2182,2,3045
258,2,3045
1163,2,3047
2016,2,3047
2005,2,3047
2182,2,3047
258,2,3047
1163,2,3048
2016,2,3048
2005,2,3048
2182,2,3048
258,2,3048
1163,2,3054
2016,2,3054
2005,2,3054
2182,2,3054
258,2,3054
1163,2,3058
2016,2,3058
2005,2,3058
2182,2,3058
258,2,3058
2613,2,3064
1481,2,3064
2225,2,3064
2669,2,3064
1221,2,3064
2614,2,3078
2807,2,3078
2616,2,3078
213,2,3078
1858,2,3078
1259,2,3078
1846,2,3078
2290,2,3084
211,2,3084
2373,2,3084
223,2,3084
2296,2,3084
1163,2,3085
2016,2,3085
2182,2,3085
258,2,3085
1783,2,3085
2208,2,3088
1158,2,3088
2633,2,3088
2286,2,3088
249,2,3088
2212,2,3088
1816,2,3088
2208,2,3090
1158,2,3090
2633,2,3090
1592,2,3090
1753,2,3090
150,2,3093
426,2,3093
1241,2,3093
440,2,3093
1910,2,3093
2286,2,3096
249,2,3096
2097,2,3096
2739,2,3096
1355,2,3096
1795,2,3097
1246,2,3097
2554,2,3097
2639,2,3097
2343,2,3097
1889,2,3097
1858,2,3097
150,2,3097
426,2,3097
2338,2,3097
1259,2,3097
1241,2,3097
440,2,3097
1795,2,3099
2639,2,3099
1858,2,3099
150,2,3099
426,2,3099
2338,2,3099
1795,2,3100
1858,2,3100
150,2,3100
426,2,3100
1241,2,3100
440,2,3100
2664,2,3101
2663,2,3101
2008,2,3101
2739,2,3101
1355,2,3101
2208,2,3111
1158,2,3111
1986,2,3111
2212,2,3111
2196,2,3111
2193,2,3111
1163,2,3127
2016,2,3127
1436,2,3127
2005,2,3127
2182,2,3127
258,2,3127
1163,2,3128
2016,2,3128
2005,2,3128
1825,2,3128
2182,2,3128
258,2,3128
2005,2,3131
2182,2,3131
258,2,3131
1522,2,3131
239,2,3131
1165,2,3131
2038,2,3131
2208,2,3132
1158,2,3132
2664,2,3132
2107,2,3132
1908,2,3132
2663,2,3132
2008,2,3132
1903,2,3132
2451,2,3132
1355,2,3132
300,2,3132
2392,2,3135
2400,2,3135
2089,2,3135
1561,2,3135
2213,2,3135
1630,2,3147
2552,2,3147
1936,2,3147
1948,2,3147
2716,2,3147
2208,2,3148
1158,2,3148
2633,2,3148
2286,2,3148
249,2,3148
2212,2,3148
2193,2,3148
2208,2,3149
1158,2,3149
1986,2,3149
2633,2,3149
2286,2,3149
249,2,3149
2212,2,3149
207,2,3150
2024,2,3150
2048,2,3150
2769,2,3150
2014,2,3150
2117,2,3163
2048,2,3163
2308,2,3163
2769,2,3163
2014,2,3163
207,2,3164
2024,2,3164
2117,2,3164
2048,2,3164
2308,2,3164
2769,2,3164
2014,2,3164
2208,2,3171
1158,2,3171
2633,2,3171
2246,2,3171
2238,2,3171
2212,2,3171
1753,2,3171
2196,2,3171
2808,2,3171
214,2,3171
2193,2,3171
2117,2,3175
2048,2,3175
2308,2,3175
2769,2,3175
2014,2,3175
2238,2,3176
2252,2,3176
1816,2,3176
1592,2,3176
2808,2,3176
214,2,3176
1930,2,3180
1892,2,3180
1811,2,3180
1470,2,3180
2322,2,3180
2425,2,3181
2190,2,3181
243,2,3181
2758,2,3181
2634,2,3181
2208,2,3193
1158,2,3193
2664,2,3193
2286,2,3193
249,2,3193
1343,2,3198
168,2,3198
2029,2,3198
1821,2,3198
272,2,3198
1500,2,3198
1407,2,3214
2026,2,3214
1960,2,3214
2578,2,3214
1949,2,3214
1429,2,3214
2362,2,3215
2614,2,3215
2807,2,3215
2616,2,3215
213,2,3215
1641,2,3215
2639,2,3215
2343,2,3215
1703,2,3215
256,2,3215
2179,2,3215
1349,2,3215
1789,2,3215
1323,2,3215
2392,2,3215
2400,2,3215
2341,2,3215
2089,2,3215
2396,2,3215
2337,2,3215
1555,2,3215
1561,2,3215
2213,2,3215
1646,2,3215
150,2,3215
426,2,3215
2338,2,3215
1171,2,3215
2339,2,3215
1988,2,3215
2023,2,3215
2535,2,3215
1700,2,3215
291,2,3215
2319,2,3215
1906,2,3215
21,2,3215
1558,2,3215
357,2,3215
1422,2,3215
277,2,3215
2743,2,3215
1805,2,3215
2198,2,3215
1305,2,3215
1241,2,3215
440,2,3215
1415,2,3215
2746,2,3215
1348,2,3215
2378,2,3215
2745,2,3215
1846,2,3215
1670,2,3215
1433,2,3215
2387,2,3215
1794,2,3215
2711,2,3215
1894,2,3215
2452,2,3215
2362,2,3216
1349,2,3216
1646,2,3216
1805,2,3216
2452,2,3216
2089,2,3217
2023,2,3217
1558,2,3217
1422,2,3217
2452,2,3217
1407,2,3219
1949,2,3219
2297,2,3219
244,2,3219
1429,2,3219
217,2,3220
2221,2,3220
1521,2,3220
1324,2,3220
2385,2,3220
259,2,3220
1494,2,3220
1354,2,3228
2208,2,3228
1158,2,3228
2286,2,3228
249,2,3228
2107,2,3228
1908,2,3228
2663,2,3228
2008,2,3228
1903,2,3228
1355,2,3228
2286,2,3229
249,2,3229
2107,2,3229
2663,2,3229
2008,2,3229
1407,2,3242
1852,2,3242
767,2,3242
2026,2,3242
1960,2,3242
1498,2,3242
261,2,3242
2579,2,3242
1429,2,3242
2554,2,3252
2392,2,3252
2341,2,3252
2089,2,3252
2396,2,3252
2213,2,3252
1988,2,3252
2119,2,3252
2712,2,3252
1357,2,3252
2709,2,3252
1700,2,3252
21,2,3252
277,2,3252
2743,2,3252
2198,2,3252
1305,2,3252
1433,2,3252
1894,2,3252
1273,2,3254
1968,2,3254
2494,2,3254
1704,2,3254
1570,2,3254
2399,2,3254
2817,2,3254
2141,2,3254
352,2,3254
1218,2,3254
1396,2,3254
2279,2,3254
1731,2,3254
1162,2,3254
2340,2,3254
2425,2,3260
2190,2,3260
243,2,3260
2758,2,3260
2634,2,3260
2208,2,3261
1158,2,3261
2246,2,3261
2196,2,3261
2193,2,3261
1795,2,3267
2614,2,3267
2807,2,3267
2616,2,3267
2554,2,3267
212,2,3267
2089,2,3267
2396,2,3267
2337,2,3267
1272,2,3271
1989,2,3271
1894,2,3271
1408,2,3271
1269,2,3271
2741,2,3271
2288,2,3273
1215,2,3273
1425,2,3273
1250,2,3273
1970,2,3273
1989,2,3273
2366,2,3273
237,2,3273
1894,2,3273
1408,2,3273
1269,2,3273
2741,2,3273
1432,2,3273
2400,2,3274
2396,2,3274
1561,2,3274
2119,2,3274
2712,2,3274
1700,2,3274
1670,2,3274
1794,2,3274
2711,2,3274
1571,2,3280
1959,2,3280
2383,2,3280
1506,2,3280
1266,2,3280
2290,2,3280
211,2,3280
1403,2,3280
2316,2,3280
1274,2,3280
1933,2,3280
1272,2,3283
1215,2,3283
1970,2,3283
1408,2,3283
1432,2,3283
2392,2,3293
2535,2,3293
2743,2,3293
1305,2,3293
1348,2,3293
2392,2,3298
2089,2,3298
2396,2,3298
2535,2,3298
2743,2,3298
1348,2,3298
1943,2,3298
1424,2,3303
2290,2,3303
211,2,3303
2373,2,3303
223,2,3303
2664,2,3305
2663,2,3305
2008,2,3305
1899,2,3305
2739,2,3305
300,2,3305
207,2,3312
2024,2,3312
2117,2,3312
2048,2,3312
2308,2,3312
2769,2,3312
2014,2,3312
1997,2,3318
217,2,3318
2221,2,3318
1191,2,3318
1427,2,3318
1212,2,3318
1521,2,3318
1675,2,3318
1324,2,3318
1995,2,3318
1417,2,3318
1325,2,3318
1953,2,3318
259,2,3318
1494,2,3318
1561,2,3320
1988,2,3320
1357,2,3320
2709,2,3320
1700,2,3320
2149,2,3324
1968,2,3324
1704,2,3324
1570,2,3324
2817,2,3324
2141,2,3324
352,2,3324
2497,2,3324
1218,2,3324
2068,2,3324
2036,2,3324
1536,2,3324
1428,2,3324
1202,2,3324
2047,2,3333
2208,2,3333
1158,2,3333
2633,2,3333
2212,2,3333
2193,2,3333
1639,2,3337
2177,2,3337
1420,2,3337
1812,2,3337
1274,2,3337
2509,2,3337
1163,2,3341
2016,2,3341
2348,2,3341
2182,2,3341
258,2,3341
2007,2,3342
1424,2,3342
2290,2,3342
211,2,3342
2199,2,3342
2373,2,3342
223,2,3342
1424,2,3347
2290,2,3347
211,2,3347
2373,2,3347
223,2,3347
1420,2,3350
1812,2,3350
1274,2,3350
1933,2,3350
1481,2,3350
2613,2,3352
1420,2,3352
1274,2,3352
2225,2,3352
2509,2,3352
1235,2,3353
1420,2,3353
1812,2,3353
2225,2,3353
2509,2,3353
1200,2,3353
1639,2,3355
1420,2,3355
1812,2,3355
1274,2,3355
2509,2,3355
2360,2,3355
1163,2,3357
2016,2,3357
2005,2,3357
2182,2,3357
258,2,3357
1783,2,3357
1284,2,3357
2613,2,3360
2177,2,3360
1420,2,3360
1274,2,3360
1200,2,3360
2614,2,3371
2807,2,3371
2616,2,3371
213,2,3371
2059,2,3371
1930,2,3381
2492,2,3381
2351,2,3381
1892,2,3381
1811,2,3381
1470,2,3381
2322,2,3381
1795,2,3390
1641,2,3390
2337,2,3390
1646,2,3390
2330,2,3390
1795,2,3392
2341,2,3392
2337,2,3392
1646,2,3392
21,2,3392
1805,2,3392
2330,2,3392
1571,2,3397
2383,2,3397
1506,2,3397
1420,2,3397
1274,2,3397
1933,2,3397
2026,2,3400
1960,2,3400
2102,2,3400
2229,2,3400
2269,2,3400
2234,2,3400
2274,2,3400
150,2,3412
426,2,3412
2338,2,3412
1988,2,3412
1422,2,3412
1805,2,3412
1348,2,3412
1794,2,3412
2711,2,3412
2614,2,3414
2807,2,3414
2616,2,3414
212,2,3414
150,2,3414
426,2,3414
2059,2,3414
1241,2,3414
440,2,3414
2362,2,3420
1795,2,3420
1246,2,3420
2614,2,3420
2807,2,3420
2616,2,3420
213,2,3420
2554,2,3420
1641,2,3420
2639,2,3420
2343,2,3420
1703,2,3420
212,2,3420
256,2,3420
2179,2,3420
1349,2,3420
1789,2,3420
1323,2,3420
2392,2,3420
2400,2,3420
2341,2,3420
2089,2,3420
1889,2,3420
1858,2,3420
2396,2,3420
2337,2,3420
1555,2,3420
2213,2,3420
1758,2,3420
1646,2,3420
150,2,3420
426,2,3420
2338,2,3420
1171,2,3420
2339,2,3420
2617,2,3420
1988,2,3420
2119,2,3420
2712,2,3420
2023,2,3420
1464,2,3420
2535,2,3420
1357,2,3420
2709,2,3420
291,2,3420
2319,2,3420
2059,2,3420
21,2,3420
1422,2,3420
277,2,3420
2743,2,3420
1259,2,3420
1805,2,3420
2198,2,3420
1932,2,3420
1241,2,3420
440,2,3420
1415,2,3420
2746,2,3420
1348,2,3420
2745,2,3420
1943,2,3420
1846,2,3420
1679,2,3420
2387,2,3420
1794,2,3420
2711,2,3420
1910,2,3420
2130,2,3420
207,2,3428
2024,2,3428
2117,2,3428
2048,2,3428
2769,2,3428
2014,2,3428
1795,2,3429
2343,2,3429
1858,2,3429
291,2,3429
2319,2,3429
207,2,3432
2024,2,3432
2048,2,3432
2769,2,3432
2014,2,3432
1630,2,3433
2635,2,3433
1886,2,3433
234,2,3433
1356,2,3433
2639,2,3437
150,2,3437
426,2,3437
1259,2,3437
1241,2,3437
440,2,3437
150,2,3444
426,2,3444
2338,2,3444
1241,2,3444
440,2,3444
2362,2,3450
1246,2,3450
2614,2,3450
2807,2,3450
2616,2,3450
213,2,3450
2554,2,3450
2639,2,3450
2343,2,3450
212,2,3450
2341,2,3450
2089,2,3450
1889,2,3450
2213,2,3450
1646,2,3450
150,2,3450
426,2,3450
2338,2,3450
1171,2,3450
2339,2,3450
2535,2,3450
1357,2,3450
2709,2,3450
291,2,3450
2319,2,3450
21,2,3450
1558,2,3450
357,2,3450
2743,2,3450
1259,2,3450
2198,2,3450
1241,2,3450
440,2,3450
1348,2,3450
2378,2,3450
1679,2,3450
2387,2,3450
1794,2,3450
2711,2,3450
1894,2,3450
2330,2,3450
2614,2,3453
2807,2,3453
2616,2,3453
213,2,3453
1641,2,3453
2343,2,3453
1703,2,3453
256,2,3453
2179,2,3453
1889,2,3453
1858,2,3453
2337,2,3453
1555,2,3453
150,2,3453
426,2,3453
2338,2,3453
2743,2,3453
1259,2,3453
1805,2,3453
1241,2,3453
440,2,3453
1415,2,3453
2746,2,3453
2745,2,3453
1910,2,3453
2362,2,3458
2396,2,3458
2023,2,3458
1805,2,3458
1794,2,3458
2711,2,3458
2362,2,3469
1795,2,3469
2554,2,3469
1641,2,3469
1789,2,3469
2392,2,3469
2341,2,3469
2089,2,3469
2396,2,3469
2337,2,3469
1988,2,3469
21,2,3469
1805,2,3469
2362,2,3472
1641,2,3472
2089,2,3472
1889,2,3472
2337,2,3472
2617,2,3472
207,2,3473
2024,2,3473
2308,2,3473
2769,2,3473
2014,2,3473
1498,2,3475
261,2,3475
2365,2,3475
2377,2,3475
2577,2,3475
150,2,3477
426,2,3477
2338,2,3477
1241,2,3477
440,2,3477
1163,2,3478
2016,2,3478
2005,2,3478
2182,2,3478
258,2,3478
1292,2,3487
1384,2,3487
1163,2,3487
2016,2,3487
2348,2,3487
1436,2,3487
2005,2,3487
1186,2,3487
1195,2,3487
1277,2,3487
2015,2,3487
2182,2,3487
258,2,3487
1522,2,3487
1783,2,3487
1284,2,3487
2208,2,3490
1158,2,3490
2664,2,3490
2663,2,3490
2008,2,3490
1889,2,3491
2213,2,3491
2535,2,3491
1906,2,3491
2378,2,3491
1163,2,3495
2016,2,3495
2005,2,3495
1187,2,3495
2364,2,3495
2182,2,3495
258,2,3495
1795,2,3507
2614,2,3507
2807,2,3507
2616,2,3507
213,2,3507
1646,2,3507
2047,2,3509
2208,2,3509
1158,2,3509
2633,2,3509
2212,2,3509
1753,2,3509
2193,2,3509
1930,2,3516
2492,2,3516
2351,2,3516
1892,2,3516
1470,2,3516
2026,2,3521
1960,2,3521
1633,2,3521
2579,2,3521
2297,2,3521
244,2,3521
2365,2,3521
1163,2,3538
2016,2,3538
2182,2,3538
258,2,3538
239,2,3538
1165,2,3538
2038,2,3538
1777,2,3539
1339,2,3539
1277,2,3539
2015,2,3539
1522,2,3539
1743,2,3541
2029,2,3541
1821,2,3541
2540,2,3541
1499,2,3541
2023,2,3549
1259,2,3549
1415,2,3549
2746,2,3549
1846,2,3549
2362,2,3551
2554,2,3551
1641,2,3551
256,2,3551
2179,2,3551
1323,2,3551
2392,2,3551
1889,2,3551
2396,2,3551
2213,2,3551
2535,2,3551
1357,2,3551
2709,2,3551
1422,2,3551
2743,2,3551
1805,2,3551
1305,2,3551
1932,2,3551
2378,2,3551
2745,2,3551
2330,2,3551
1639,2,3555
1420,2,3555
1812,2,3555
1274,2,3555
1933,2,3555
1200,2,3555
2208,2,3558
1158,2,3558
2633,2,3558
2238,2,3558
2252,2,3558
2614,2,3559
2807,2,3559
2616,2,3559
213,2,3559
1422,2,3559
2198,2,3559
2341,2,3563
2396,2,3563
150,2,3563
426,2,3563
2023,2,3563
21,2,3563
1241,2,3563
440,2,3563
1679,2,3563
2614,2,3573
2807,2,3573
2616,2,3573
213,2,3573
212,2,3573
2614,2,3575
2807,2,3575
2616,2,3575
212,2,3575
2059,2,3575
1246,2,3578
2614,2,3578
2807,2,3578
2616,2,3578
213,2,3578
291,2,3578
2319,2,3578
1906,2,3578
2059,2,3578
2614,2,3581
2807,2,3581
2616,2,3581
213,2,3581
212,2,3581
2059,2,3581
1883,2,3584
2171,2,3584
1630,2,3584
2552,2,3584
2635,2,3584
2114,2,3584
1886,2,3584
234,2,3584
1356,2,3584
1948,2,3584
2716,2,3584
1883,2,3585
2171,2,3585
1630,2,3585
2552,2,3585
2635,2,3585
2114,2,3585
1948,2,3585
2716,2,3585
1883,2,3587
2171,2,3587
1630,2,3587
2552,2,3587
2635,2,3587
1356,2,3587
1883,2,3589
2552,2,3589
2635,2,3589
1948,2,3589
2716,2,3589
242,2,3591
2553,2,3591
1283,2,3591
241,2,3591
1289,2,3591
1479,2,3591
1887,2,3595
1883,2,3595
2171,2,3595
2552,2,3595
2114,2,3595
1948,2,3595
2716,2,3595
207,2,3600
2024,2,3600
2117,2,3600
2048,2,3600
2769,2,3600
2014,2,3600
1858,2,3606
150,2,3606
426,2,3606
2338,2,3606
1259,2,3606
2614,2,3609
2807,2,3609
2616,2,3609
213,2,3609
212,2,3609
2614,2,3613
2807,2,3613
2616,2,3613
212,2,3613
2119,2,3613
2712,2,3613
2362,2,3615
1795,2,3615
2614,2,3615
2807,2,3615
2616,2,3615
213,2,3615
2639,2,3615
2392,2,3615
1889,2,3615
150,2,3615
426,2,3615
2338,2,3615
1357,2,3615
2709,2,3615
1422,2,3615
1259,2,3615
2745,2,3615
1910,2,3615
2362,2,3622
2341,2,3622
2089,2,3622
1889,2,3622
1858,2,3622
1646,2,3622
150,2,3622
426,2,3622
2338,2,3622
2535,2,3622
21,2,3622
1805,2,3622
2330,2,3622
2362,2,3623
1246,2,3623
2614,2,3623
2807,2,3623
2616,2,3623
213,2,3623
2554,2,3623
2639,2,3623
2343,2,3623
1789,2,3623
1323,2,3623
1858,2,3623
2396,2,3623
1561,2,3623
150,2,3623
426,2,3623
2338,2,3623
1700,2,3623
291,2,3623
2319,2,3623
1846,2,3623
1795,2,3628
150,2,3628
426,2,3628
1241,2,3628
440,2,3628
2614,2,3630
2807,2,3630
2616,2,3630
213,2,3630
212,2,3630
2362,2,3631
2614,2,3631
2807,2,3631
2616,2,3631
212,2,3631
1422,2,3631
2362,2,3632
1795,2,3632
2614,2,3632
2807,2,3632
2616,2,3632
213,2,3632
2554,2,3632
1323,2,3632
2089,2,3632
1858,2,3632
2396,2,3632
150,2,3632
426,2,3632
2338,2,3632
291,2,3632
2319,2,3632
1422,2,3632
277,2,3632
1241,2,3632
440,2,3632
2554,2,3633
1646,2,3633
150,2,3633
426,2,3633
2338,2,3633
1259,2,3633
2362,2,3636
1246,2,3636
2343,2,3636
2396,2,3636
1646,2,3636
150,2,3636
426,2,3636
2338,2,3636
1422,2,3636
1259,2,3636
1241,2,3636
440,2,3636
2343,2,3638
1349,2,3638
1789,2,3638
1323,2,3638
2392,2,3638
2337,2,3638
150,2,3638
426,2,3638
2535,2,3638
1422,2,3638
1259,2,3638
1805,2,3638
1241,2,3638
440,2,3638
150,2,3639
426,2,3639
1259,2,3639
1241,2,3639
440,2,3639
2343,2,3641
1789,2,3641
150,2,3641
426,2,3641
1241,2,3641
440,2,3641
2362,2,3646
1795,2,3646
1323,2,3646
150,2,3646
426,2,3646
2338,2,3646
1988,2,3646
207,2,3659
2024,2,3659
2117,2,3659
2769,2,3659
2014,2,3659
2286,2,3662
249,2,3662
2246,2,3662
2238,2,3662
1390,2,3662
2252,2,3662
2212,2,3662
2089,2,3665
2396,2,3665
1561,2,3665
1422,2,3665
1348,2,3665
2378,2,3665
207,2,3676
2024,2,3676
2048,2,3676
2769,2,3676
2014,2,3676
1641,2,3684
2341,2,3684
1889,2,3684
21,2,3684
1943,2,3684
1305,2,3686
1860,2,3686
2217,2,3686
1722,2,3686
3012,2,3686
1743,2,3688
1205,2,3688
335,2,3688
2029,2,3688
1821,2,3688
2817,2,3689
2141,2,3689
352,2,3689
1162,2,3689
2340,2,3689
1930,2,3700
2532,2,3700
2492,2,3700
2351,2,3700
2322,2,3700
1924,2,3703
1177,2,3703
2226,2,3703
240,2,3703
1768,2,3703
1925,2,3703
1419,2,3703
1232,2,3703
256,2,3708
